folder,goal
2cdd4f32-fb6c-4ae1-8e6f-00618ce0314e,Open notification settings and turn off notifications
05bb3bcb-e3e3-415a-aea5-8cf7466e8d00,Show Precipitation forecast
d91a5eab-fea1-46e2-8e8d-f4f96bd40937,Open settings and change temperature unit to C
4f6c698a-03a2-4a3e-94ed-8baa1365da45,Open settings and change temperature unit to C
c28f9436-1e55-4699-9f99-7cdf4a65b46a,Check Internet Speed
75ab2d34-e7d7-4fed-9155-d67c112ef5be,Go to boost ram
24aa8b8f-6c57-46c1-80ef-a9f0784cd20c,Go to boost ram
f528ce95-a893-40e9-a31d-121cbd265e11,Open Wi-Fi Speed
d80ca14c-7792-4cb9-a1aa-871746f5681b,Open Wi-Fi Speed
105502aa-c94a-4d8f-87eb-da4fa9df3344,Open the menu and open settings and go to realtime protection settings and turn on scan complete popups
1043167a-8742-4558-b4d6-579149ae42e8,Open the menu and open settings and go to realtime protection settings and turn on scan complete popups
3c2ffba7-5c9c-408d-8365-5528fae3441a,Activate automatic WiFi scanning
b1dc9f06-dcde-4fae-b2f3-389c7dbb27ea,Activate automatic WiFi scanning
aff7f779-582b-4d10-8445-59ac0ea8679f,"tap on ""support"" under service"
0f0fa113-1623-41f7-bcac-365c4acbbe9c,"tap on ""support"" under service"
34c039c5-9939-4482-bc5c-8b0b1168c6fe,"tap on ""support"" under service"
34c2364a-47d5-4e6b-82dc-31d7aae789d5,"tap on ""support"" under service"
3acd91c5-e554-44d5-9867-abc5399aa5e5,"tap on ""support"" under service"
ce6c416b-2b78-4973-baa2-d767f5135323,"tap on ""support"" under service"
6348277c-8cc2-4dd0-8a72-d51ba56cc090,"tap on ""support"" under service"
d614979a-052f-43c7-90e7-b027cd849c29,"tap on ""support"" under service"
cf5a22e5-bc87-49a6-abfa-497c0bbca1c4,"tap on ""support"" under service"
c6750b70-ece9-4f91-b239-51c97e95d6cc,"tap on ""support"" under service"
88b07aae-36dc-4827-8404-bdb21d9cbe3e,"tap on ""support"" under service"
e2a6b147-6e68-4dbf-af02-9afe43039038,tap on us flag on top left and change country to australia
2e90cfcb-8cd9-4376-8082-dfe50e37c004,tap on us flag on top left and change country to australia
55ea5059-36e4-4418-804e-7860616d2c90,tap on us flag on top left and change country to australia
73a0d6bc-5d34-4899-bb03-d9504d66195c,tap on us flag on top left and change country to australia
315d38d8-6d89-4115-a6af-c65013aecf06,tap on us flag on top left and change country to australia
e0f98ca0-90bd-44e1-b28c-4cf0324609c4,tap on us flag on top left and change country to australia
020f83a6-a1ea-49b1-a3bc-05da6a755b1e,tap on us flag on top left and change country to australia
e11047e3-9390-4321-b502-8ae301ef3f60,tap on us flag on top left and change country to australia
ebbece8a-b333-4362-a126-c17e907e2820,tap on us flag on top left and change country to australia
e2d575bf-fc95-484b-8d68-9e885058b3f2,look for items under watches
d794d100-06dd-405e-ad89-87a93c493a6a,look for items under watches
aab68a8d-70cb-4870-b59d-9724a5db11de,look for items under watches
41c076dd-dc98-4e43-b801-09089f8893c4,look for items under watches
6e8f7036-aa54-4c09-bb38-0cb08a89f081,look for items under watches
52474ce9-d9d3-4f04-bf28-b2ee7ec5606e,look for items under watches
f32f2927-0381-4c16-a464-5a395c0d8201,look for items under watches
931e73bf-77cd-4318-95bc-80ad5912d747,look for items under watches
23600207-93f1-46f5-aa4a-53c79d62ec01,look for items under watches
44edf811-daf3-440b-8bcf-2dcf9bf9ed96,look for items under watches
a7c7c012-3712-45f9-91ef-42a2fdad528f,look for items under watches
6c7bc8e5-9bb0-4b31-b5f7-c3772c56d308,view homegoods
6fc5f5e4-01d8-4c3b-8236-73c9b59f2320,view homegoods
511fb9af-a182-4efe-9160-06ce043882fd,view homegoods
de7d6681-52c7-43e6-9ad7-cdcf9d831943,view homegoods
34ae1800-fd69-4a39-8b1d-378fb15494b2,view homegoods
d9befcf8-7239-46ab-aa5d-4a4cb57a7e0b,view homegoods
98983c38-112d-4f7e-8a5f-f158d388e469,view homegoods
76ad0653-ea90-4b05-8b47-9cac97a00858,view homegoods
c9cde73c-1cce-4bbe-8674-482b08165e30,Select one-way flight from CMI to PAR for April 10th for 2 adults in first class
6b61fbbb-74b7-4932-ab69-8de79811d73c,Select one-way flight from CMI to PAR for April 10th for 2 adults in first class
5a9a43f3-674f-4bb2-be38-674256e896a8,Select one-way flight from CMI to PAR for April 10th for 2 adults in first class
16952e7b-cee3-4900-9a9d-a12644f9b0f9,search for a hotel in Minneapolis from May 31st to June 4th 2 rooms and 2 adult guests
10ebef40-c738-4a62-b240-291f0bb31cb4,search for a hotel in Minneapolis from May 31st to June 4th 2 rooms and 2 adult guests
70c1b73e-4c8e-40b2-93ee-a01550ea6f34,search for a hotel in Minneapolis from May 31st to June 4th 2 rooms and 2 adult guests
929409dc-d4f6-4feb-a0c4-9cfbdf79cf90,go to price alerts under settings
13e5f86b-bbc6-40c6-8eb4-b2ee49d95a98,go to price alerts under settings
d1a5f2ac-c265-415f-b9a6-a61746498ae5,go to price alerts under settings
abca4fc8-522d-41db-a28f-dc5b9ae3705a,go to price alerts under settings
4d82e871-7292-4e95-ad39-60e1c6b1ba11,go to price alerts under settings
33afc756-fadd-4e53-a77d-87df2872967d,go to price alerts under settings
af1f1232-609c-4b2d-9568-bbc99ed78772,click on the rental car search option
4d3a6661-205f-4618-bdcd-0b63a641501d,click on the rental car search option
21d8b78e-6130-4ec2-a9ae-15a3890abb0c,go to settings and change the currency preference to CAD
4a3b5c6c-a3db-4c70-b7b4-95e6647feae1,Show me the temperature forecast over New Orleans Louisiana
15de6c37-2d94-49fa-80fe-c0867aea57f5,Show me the temperature forecast over New Orleans Louisiana
b2599eed-f39e-42fe-8fa8-1f6c7abc0ea9,Show me the temperature forecast over New Orleans Louisiana
55ccf1e9-4685-4aba-ba5e-777e931b8417,Show me the temperature forecast over New Orleans Louisiana
9f4b292c-b32a-4f06-8605-9e6c23eaf648,Show me the temperature forecast over New Orleans Louisiana
97cd98b7-5409-4f06-87a3-df026593839e,Show me the temperature forecast over New Orleans Louisiana
23b56165-cf6e-462d-92c2-23e7d96d70f0,Show me the temperature forecast over New Orleans Louisiana
2841fc72-41df-4e74-8f5d-4b159aa889c8,Show me the temperature forecast over New Orleans Louisiana
385e7807-5dc0-4820-9577-2d2fcacf5efd,Show me the temperature forecast over New Orleans Louisiana
1cf1f0e1-5007-4df4-9d25-1941c046ecff,Show me the temperature forecast over New Orleans Louisiana
7b2032ea-396f-47f5-9ea8-e9e20442bb1e,Go to settings and turn off the use of current location
1e993201-5969-43e5-8e41-93e5c9afe0d9,Go to settings and turn off the use of current location
8f61780d-9fb4-411b-a710-0bd730273c5c,Go to settings and turn off the use of current location
c5a1b1bf-faeb-46b5-945d-90d4123ffbed,Go to settings and turn off the use of current location
23934733-252e-4f0e-8d02-de7a69b4b044,Go to settings and turn off the use of current location
616de44b-e69c-4d33-90c3-bd004d7362bf,Go to settings and turn off the use of current location
cf70e60b-7f63-4521-9e49-0430a699cd02,Go to settings and turn off the use of current location
811beed2-434b-4003-be1f-fedd870e2046,Go to settings and turn off the use of current location
8eae61a8-055c-4730-ba93-981709bc77dc,Go to settings and turn off the use of current location
7f0ffa57-2a01-446e-a606-dd4934e59a9e,Go to settings and turn off the use of current location
d174c889-e018-4d05-9dea-e36e79713093,Go to settings and turn off the use of current location
e6ee3122-07a2-489f-81ef-1ca449e983e9,Show Precipitation forecast
27d85d77-d7bd-4b5b-8d7a-8452c941d240,Show Precipitation forecast
106e3d1e-3b90-45df-aab2-8a9e8c3d3393,Show Precipitation forecast
a5064eb8-68ac-4f5e-b249-e3f2a196f47c,Show Precipitation forecast
4bfa78ca-e4af-4ddd-b636-f99b84812815,Show Precipitation forecast
526d8249-5f0d-4e72-a345-753912f5b91f,Show Precipitation forecast
6c9ebcaf-ec29-4d01-8d0e-ea6b75a70746,Show Precipitation forecast
836df66c-ca70-4726-a80c-2fe83a633676,Show Precipitation forecast
343ef046-04af-40c8-9f74-49e5f972c4f1,Show Precipitation forecast
09ca3d68-ae8d-4421-9fe0-3ff717442bd1,Show Precipitation forecast
56f3e24e-aeb9-4b60-951c-ffa378f664b1,Open notification settings and turn off notifications
b05875c6-4a63-4df1-a3cc-ac8ebca977fa,Open notification settings and turn off notifications
7b146bbf-c5d0-4c0d-aa48-253219ac62b9,Open notification settings and turn off notifications
adff7423-731c-4137-b914-f530d027c14a,Open notification settings and turn off notifications
a71da85b-340b-40ee-b7ec-103eae3015bb,Open notification settings and turn off notifications
f5db6a45-73d9-4040-9c6e-3d82d8e46fe8,Open notification settings and turn off notifications
1e366ddd-23b4-4d42-9a31-8a3602739b43,Open notification settings and turn off notifications
fc04197a-11f6-466f-b68c-923549b3623b,Open notification settings and turn off notifications
85d870d2-8f69-4047-ac24-c173506beede,Open notification settings and turn off notifications
89002229-23d8-4d65-b4e8-1b6b2dbba5a8,Open notification settings and turn off notifications
e0a6fbd4-9ffa-413a-b054-faad31f79ceb,Open settings and change temperature unit to C
34499240-313d-43bd-ac0e-5d1972cbeae2,Open settings and change temperature unit to C
bdd385f3-4192-466f-a4d7-273d3f46e967,Open settings and change temperature unit to C
f921d4cc-efeb-41ea-bf7c-067db88cd2da,Open settings and change temperature unit to C
271154e2-b0fc-4ffb-a51e-4099e1757824,Open settings and change temperature unit to C
af067e98-e9d6-4330-b992-f8f3df8fd97e,Open settings and change temperature unit to C
f26882aa-86a5-4e6c-b419-119869ababfe,Open settings and change temperature unit to C
9e389916-fc41-4e39-8242-bb28c0694217,Open settings and change temperature unit to C
676e4e1c-7d5e-4032-be6a-d095ebf50464,Open settings and change temperature unit to C
2cc5475e-17d7-4062-b419-8b0b8a5a26c4,Check Internet Speed
f7c3d385-7c50-451e-b92a-7b54544dfb63,Check Internet Speed
8bd9f864-aa31-477d-a22d-89f539cd54db,Check Internet Speed
31b5b684-bbb4-4733-8755-23e556374cbc,Check Internet Speed
defd14ff-80e3-40d7-9d70-d8218c56379a,Check Internet Speed
11f853a9-5c33-44e9-aeed-13220d8875a7,Check Internet Speed
867144f0-5236-4395-b3b9-c375d1cc6ad7,Check Internet Speed
749c71f8-60c3-409d-a78f-d411d42a6440,Check Internet Speed
caaf7937-c566-4f25-92ea-ca4d1185e887,Check Internet Speed
824ace86-c933-45a4-9d2b-205448569206,Check Internet Speed
96664f29-42f3-4bf8-a2e1-4c4691d4ef49,Check Internet Speed
deb7472d-31b4-40e6-be2d-7ea39ee301ba,Open the menu and open settings and go to realtime protection settings and turn on scan complete popups
9c75081e-e05d-46f3-8ecd-eb9b97f5c777,Open the menu and open settings and go to realtime protection settings and turn on scan complete popups
c1d241fa-c85e-4c5b-8f51-72eff597005d,Open the menu and open settings and go to realtime protection settings and turn on scan complete popups
0cb4001f-991c-416d-a0e0-d47836d9158f,Open the menu and open settings and go to realtime protection settings and turn on scan complete popups
729c92f4-3310-4da5-8bfc-eb83fe9120fe,Open the menu and open settings and go to realtime protection settings and turn on scan complete popups
344eae8e-5b23-4646-b69f-66a8d1ba4c5d,Open the menu and open settings and go to realtime protection settings and turn on scan complete popups
a32f54dd-1eab-4951-acfb-3ad1afbaf2bb,Open the menu and open settings and go to realtime protection settings and turn on scan complete popups
c0485981-de86-4baf-8033-6dd515236ae7,Open the menu and open settings and go to realtime protection settings and turn on scan complete popups
a1235ed2-53b5-4850-83e3-a7b54dc2ebc5,Open Wi-Fi Speed
97bc382b-d388-4667-ae17-ed940b324aa0,Open Wi-Fi Speed
f2de136f-2cf8-4156-8d04-d4e318d29314,Open Wi-Fi Speed
ccc2195c-0b93-4a7b-9dc7-9e35acb5ae1b,Open Wi-Fi Speed
cc011c29-d3b1-4fbb-a508-af1a9e2f5edf,Open Wi-Fi Speed
f5e5aff4-f425-4377-a916-7573042cdfe4,Open Wi-Fi Speed
74f5306f-585d-4083-a500-fcc71c452231,Open Wi-Fi Speed
b4f54de9-9ab1-43d5-a3a9-43e0c9fb1280,Open Wi-Fi Speed
be6910f9-261d-4924-a6e2-5e5733a825b4,Open Wi-Fi Speed
daeede04-d181-4c1e-82fa-b562db322a91,Open Wi-Fi Speed
9b387afe-7aa8-4766-a4dd-157db11601d9,Activate automatic WiFi scanning
19aaae2e-1056-4d0d-a00e-b3d9f519b72e,Activate automatic WiFi scanning
fb11c6f9-fc03-4cdf-9b41-8e20d72a03d5,Activate automatic WiFi scanning
5fcb6193-1887-4841-bbc7-6c304f374672,Activate automatic WiFi scanning
f60b5c67-26ea-46a4-ad8a-3623e90753e5,Activate automatic WiFi scanning
07c91f7b-2996-46f8-807c-a165ac901230,Activate automatic WiFi scanning
434e844a-0707-4cf3-9919-fae55bc1424a,Activate automatic WiFi scanning
3af816cd-93e2-49cd-9bfa-c58803474b5d,Activate automatic WiFi scanning
969a6303-d392-431a-be19-c9712ff7b753,Go to boost ram
edd5a404-77d5-4e01-ab37-c581e581d292,Go to boost ram
03e41ed5-d739-4834-a2cd-5ab90f0f9914,Go to boost ram
270b40ca-0485-4950-aa30-cebc2df55d32,Go to boost ram
35513230-0898-428d-8b5b-f1963c0a9a53,Go to boost ram
c24c70b8-b248-44c9-88ca-3901169467c5,Go to boost ram
3f219db5-0657-4b17-96b9-fec109ce90a8,Go to boost ram
113ff8cf-a542-460e-8c10-a3790da57754,Go to boost ram
a2a9047e-15de-4a80-968d-fcafb89f1e8f,Go to boost ram
b2188f5a-da4a-48c6-b8fe-30e819c6b84b,Go to boost ram
f96d3ace-6c63-4e32-a5f7-08154b4f0ea9,Go to boost ram
9c1583bd-5b5e-4705-8522-080c7115404d,export diary entries
c9e9d424-e1f6-4723-a930-596fdbf7ac83,export diary entries
6d4d9ef6-9a47-4f40-8fcc-9c73867e53d1,export diary entries
b90451f4-cabe-46c8-abab-15856305c0ec,export diary entries
5e1decc6-0623-4c98-8978-32de143f2aad,export diary entries
759557c6-5ee3-4c56-adff-9bca6cb96756,export diary entries
42e6fe2e-93f1-4c60-a6a1-a546c6155bc3,export diary entries
879699da-183e-45e7-b51f-41f98c6b4d06,turn off hide past events
91a325a5-285d-44a0-8ee2-7f5a284c82fa,turn off hide past events
170861d9-5210-44b8-8120-5125c984c697,turn off hide past events
d276580f-8e30-47d9-be31-2d80dca69c97,turn off hide past events
fdf2ecc2-39cd-4b52-aaed-0e0b43233dc7,turn off hide past events
e94c1b1a-c6ce-40aa-b5ff-e984f8ebd783,turn off hide past events
60cfb74e-920e-4346-9b9b-4a44f849beea,turn off hide past events
6f7a0cab-196f-4c5b-b7f5-af29a3491287,turn off hide past events
aa17880b-c075-4f03-89c7-6e8c4975e72a,turn off hide past events
d1347cb8-a6be-4284-8798-e52d5eb02ad5,go to background settings and click on sticker
d3117512-c7f0-44a4-8ad3-d4cbc06c3e3d,go to background settings and click on sticker
1025dd22-a4f7-4de7-b884-508803ae9f51,go to background settings and click on sticker
de3f32df-4528-4f01-b797-490c5f8ed08e,go to background settings and click on sticker
9d271742-1b58-4dd8-84cd-fe13982be0f0,go to background settings and click on sticker
d340ff51-aa93-499f-baac-3f95a80a95b4,go to background settings and click on sticker
06878483-9f3c-43f6-a83d-295a1112beac,go to my profile
4665acb7-1695-4884-aa64-497e46e13ace,go to my profile
a4b941ea-bc21-4748-b42a-f35ecf994154,go to my profile
9e4ba087-8710-4bda-9cb8-3af84df3debe,go to my profile
c4f5cac1-0311-4cc1-a9e7-6b5e178670fd,go to my profile
bb41100d-b28d-4d80-9df4-bc3767d98690,go to my profile
5adfb65e-4bb1-43a1-bc5d-b28a76ebde51,go to my profile
bca58f49-7b5d-4f93-bfaf-707639430a72,view technology headlines
ec84dea2-1d2b-460d-bbc8-516a37102fbe,view technology headlines
2c8e253b-9046-4ebb-892d-205aca48a1c0,view technology headlines
299ec9d3-1ea2-49fa-86c5-9bb9c10c7c7e,view technology headlines
2ed393c6-7120-4f7b-b28c-8fd73015998a,Open politics tab
9735b7e9-3657-4727-80b7-28591eb3acee,Open politics tab
bd67787a-1e8e-4786-8610-a1982257d215,Open politics tab
d00276a2-495b-4753-bd08-e0c86e6ad163,Open politics tab
406f36e9-bf80-454a-9208-9aa369646cb4,Open politics tab
96e11539-1d1b-468d-b457-8daa3cd1f331,Open politics tab
f37cf65b-06b1-4ef2-bd9c-7aa62db47891,Open politics tab
5f301cc9-24c9-44f2-911c-f3811c32d22b,turn on the option to create excel files and google sheet files
43cfe3e5-6113-42ae-9b0f-ac31e4afcdae,turn on the option to create excel files and google sheet files
bee73601-0dd3-4ca1-bca1-bec0c3fa07ad,turn on the option to create excel files and google sheet files
c3e2ea65-111c-49b3-9534-87dac1ee89c2,turn on the option to create excel files and google sheet files
8792115d-cf63-421b-bcb9-a4afb90be70e,turn on the option to create excel files and google sheet files
18fe6eca-f8cc-489e-91af-ca1c29189f92,turn on the option to create excel files and google sheet files
f9763ec1-18c6-4727-b381-89f9a02bba01,turn on the option to create excel files and google sheet files
be08508c-352c-4e08-a046-bb06b25ad386,click save
43ac0853-84eb-4c93-b602-7fec57a37484,click save
ad7eec9c-16f1-4eae-bc5a-a9b6c88759d7,click save
9a7b9dd6-6b54-4172-a783-6472458ec6f6,click save
24cc0835-e9e4-41bb-a1a3-7ebbfe7100dc,click save
e4ff54f5-b400-43d3-9250-80383022a065,click save
9024abae-07af-4cf8-8fa5-9bc0e2c9a87d,click save
7829a8d2-2971-49a0-b479-2f4e93de6c6b,go to notification
69041a5f-69ea-4f87-9a1f-3ec458968067,go to notification
8477e4b6-bf5c-4ef6-acb8-480eab5500a5,go to notification
4f38bf3f-b057-4d50-8ef0-c833d9ba72de,go to notification
a2b23a21-feef-456d-a4e6-91cc141dcb46,go to notification
e14b5c0f-e5ba-45fe-b65b-c9790e14a1cf,go to notification
2da972da-2dce-46f6-aa7e-7cf1f3cfafae,go to notification
374f99de-cfda-42e7-a2dc-b7bcd0652f51,Open Settings and open Manage notifications
e88db93a-1436-420a-b73b-198082bcc0c7,Open Settings and open Manage notifications
4bc35644-54fd-4f2d-8004-c2bce4004c84,Open Settings and open Manage notifications
539bb3bf-6ec2-4930-a5d9-4da9bf7b40c6,Open Settings and open Manage notifications
c24264d0-e6d6-4704-803d-9edf0e250a87,Open read later settings and enable delete old feeds automatically
f044210e-5bad-4f3a-a306-668a84cfd156,Open read later settings and enable delete old feeds automatically
8b85b436-1daa-4379-a5c7-6bdd59451b25,Open read later settings and enable delete old feeds automatically
dac8c944-94e2-4d43-8666-74947289f895,Open read later settings and enable delete old feeds automatically
f12e452c-374b-4aa5-b7eb-7b67d94cbefa,Open read later settings and enable delete old feeds automatically
d34d6baa-9b5e-4d2e-908e-03328fa2b3c7,Go to the popular tab and click on the second most read article
125c0c18-e108-4c66-b198-42344877f69c,Go to the popular tab and click on the second most read article
860737e0-f666-4749-bd6e-53fe363e4e34,Go to the popular tab and click on the second most read article
f1df5b42-e213-419c-ae96-a041d9ffe24a,Go to the popular tab and click on the second most read article
dcb48607-a06d-429c-8f4e-31b2a90b23d6,Go to the popular tab and click on the second most read article
0704f664-2106-45a5-ae3d-04cf624b2242,Go to the popular tab and click on the second most read article
93aad3a2-2420-42db-9cd4-358f0ee5e886,Open New Spreadsheet and click share
a0d941f7-8f49-4d2e-a0d0-d530b8a8d6bb,Open New Spreadsheet and click share
8c9e7099-b7b5-4f1a-b3dc-6675aeb0a046,Open New Spreadsheet and click share
b1a538ee-3981-450a-b9d4-7277abddd949,Open New Spreadsheet and click share
145531bd-1434-48bd-959e-8d0d64a19bdd,Open New Spreadsheet and click share
0ef68f6d-94a9-497b-966b-3529bfacaddc,Open New Spreadsheet and click share
21e9ba3b-7961-4f77-89a4-3795643ed7f4,Open New Spreadsheet and click share
1686dc47-21cb-47be-b58e-be38a3411378,Open New Spreadsheet and click share
23e4d164-5049-416f-bfe6-2048b5bb3144,Open New Spreadsheet and click share
4bada666-1e0d-4061-a2b0-d80b2f6264eb,Open New Spreadsheet and click share
e180dc6b-d5bf-4cb6-9492-bcc0535ce6ef,Open New Spreadsheet and click share
d5b682d0-30df-4a7b-bb73-16e6bf9de120,set a daily reminder to write my diary
b99128c7-2273-48db-9799-d670db5e9644,set a daily reminder to write my diary
97946682-9173-4db0-a2a9-3d2f21daf464,set a daily reminder to write my diary
f8f056bf-1082-4fdb-9633-762d7aa86e40,set a daily reminder to write my diary
ea6cb311-3f6c-4fe7-b701-364078c21bbe,set a daily reminder to write my diary
53187198-a9d0-4fb1-be30-271022484150,set a daily reminder to write my diary
9d8880aa-b087-4fac-8e2f-e1e4602dca09,"change icon settings to ""hidden"""
1f16685b-b688-40ca-97a7-3f8ac54c9e86,"change icon settings to ""hidden"""
46a1cee8-d30a-4b85-9b6b-20dca4b4b148,"change icon settings to ""hidden"""
91af5c39-3a58-4f6b-9a0e-1c02d7d17ce6,"change icon settings to ""hidden"""
07ba43ad-c7f4-4766-862a-f3659fb2503d,"change icon settings to ""hidden"""
0026872a-3517-45f5-8548-32896792d41a,"change icon settings to ""hidden"""
b2a9ea76-0453-4b5f-b7df-94bbb9d18a5e,"change icon settings to ""hidden"""
b61faabf-da1f-4166-b255-1cf63e6d9f23,"change icon settings to ""hidden"""
dc3b432d-4248-448f-8684-499eb2f72eb9,Open the colors and style settings and change the theme to light blue
833b833c-a18e-43f4-9431-794f54385552,Open the colors and style settings and change the theme to light blue
59b21dae-2c23-41c4-9fbd-f95302c37717,Open the colors and style settings and change the theme to light blue
